"%s Item(s)","položiek: %s"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo obchod. Všetky práva vyhradené."
"(Shift-)Click or drag to change value","(Shift-) Kliknutím alebo ťahaním zmeníte hodnotu"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Kliknutím na niektorú z častí sa jej počet zvýši"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačidlo myši nad niektorým z vyššie uvedených tlačidiel pre rýchlejší výber."
"- Use the %s buttons to select month","- Použite %s pre výber mesiaca"
"- Use the %s, %s buttons to select year","- Použite %s, %s pre výber roku"
"- or Shift-click to decrease it","- alebo Shift-klik pre zníženie"
"- or click and drag for faster selection.","- alebo klik a ťahanie pre rýchle označenie."
"-- Please Select --","-- Prosím vyberte --"
"1 column","1 stĺpec"
"2 columns with left bar","2 stĺpce s panelom vľavo"
"2 columns with right bar","2 stĺpce s panelom vpravo"
"3 columns","3 stĺpce"
"About the calendar","O kalendári"
"All Empty Layout Pages","Všetky stránky s prázdnym rozvrhnutím"
"All One-Column Layout Pages","Všetky stránky s jednostĺpcovým rozvrhnutím"
"All Pages","Všetky stránky"
"All Pages (Print Version)","Všetky stránky (verzia pre tlač)"
"All Three-Column Layout Pages","Všetky stránky s trojstĺpcovým rozvrhnutím"
"All Two-Column Layout Pages (Left Column)","Všetky stránky s dvojstĺpcovým rozvrhnutím (panel vľavo)"
"All Two-Column Layout Pages (Right Column)","Všetky stránky s dvojstĺpcovým rozvrhnutím (panel vpravo)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Stlačte <a href=""%s"">tu</a> ak sa nič nedeje"
"Close","Zavrieť"
"Close Window","Zavrieť okno"
"DHTML Date/Time Selector","DHTML Výber Dátum/Čas"
"Date selection:","Vybraný dátum:"
"Default Description","Predvolený Popis"
"Default welcome msg!","Predvolená uvítacia správa!"
"Display %s first","Zobraziť prvých: %s"
"Distributed under GNU LGPL. See %s for details.","Distribuované pod GNU LGPL. Pre detaily navštívte %s."
"Drag to move","Uchopte pre presun"
"Empty","Prázdne"
"For latest version visit: %s","Pre posledné verziu navštívte: %s"
"Free Shipping on orders over 50$","Doručenie zdarma pre objednávky nad 50$"
"Go Today","Prejsť na dnešok"
"Help Us to Keep Magento Healthy","Pomôžte nám udržať Magento bez chýb"
"Interface Language","Jazyk rozhrania"
"Items %s to %s of %s total","Celkovo %s položiek %s z %s"
"JavaScript seem to be disabled in your browser.","Vyzerá to, že máte vypnutý JavaScript."
"Left Column","Ľavý stĺpec"
"Main Content Area","Hlavný obsah"
"Navigation Bar","Navigačný panel"
"Next","Ďalšia stránka"
"Next month (hold for menu)","Následující mesiac (podržať pre menu)"
"Next year (hold for menu)","Následující rok (podržať pre menu)"
"Page Bottom","Spodok stránky"
"Page Footer","Päta stránky"
"Page Header","Hlavička stránky"
"Page Top","Začiatok stránky"
"Page:","Stránka:"
"Prev. month (hold for menu)","Predchodzí mesiac (podržať pre menu)"
"Prev. year (hold for menu)","Predchodzí rok (podržať pre menu)"
"Previous","Predchádzajúca stránka"
"Redirecting...","Presmerovávam..."
"Report All Bugs","Nahláste všetky chyby"
"Right Column","Pravý stĺpec"
"Select Store","Vybrať obchod"
"Select Store:","Vybrať obchod:"
"Select date","Vybrať dátum"
"Show","Ukázať"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je iba  predvádzací obchod. Žiadna z objednávok odoslaná prostredníctvom tohoto obchodu nebude vybavená."
"Time selection:","Výber času:"
"Time:","Čas:"
"Welcome, %s!","Vitajte, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Pre správnu funkčnosť stánok je potreba mať zapnutý JavaScript."
"Your Language","Váš jazyk"
"Your Language:","Váš jazyk:"
"per page","na stránku"
"Description", "Popis"
