"Action","Udalosť"
"An error occurred while writing to the backup file ""%s"".","Chyba pri zápise záložného súboru ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Záložný súbor ""%s"" sa nedá čítať alebo zapísať."
"Backup file ""%s"" does not exist.","Záložný súbor ""%s"" neexistuje."
"Backup file does not exist.","Záložný súbor neexistuje."
"Backup file handler was unspecified.","Ovládač záloh nie je špecifikovaný."
"Backup file path was not specified.","Cesta k zálohe nie je špecifikovaná."
"Backups","Zálohy"
"Cannot read backup file.","Nie je možné čítať záložný súbor."
"Create Backup","Vytvoriť zálohu"
"DB","DB"
"Database was successfuly backed up.","Databáza bola úspešne zálohovaná."
"Download","Prevziať"
"Size, Bytes","Veľkosť, [bytes]"
"The file was compressed with Zlib, but this extension is not installed on server.","Súbor je skomprimovaný použitím Zlib, avšak táto funkcia nie je na serveri nainštalovaná."
"Time","Čas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nemožno vytvoriť zálohu. Prosím skúste to neskôr."
"Wrong order of creation for new backup.","Nesprávne poradie pri vytvárani novej zálohy."
