"-- Please select --","-- Please select --"
"Allowed Currencies","Povolené meny"
"Base Currency","Základná mena"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Základná mena bude použitá pre všetky online platobné transakcie. Rozsah je definovaný rozsahom katalógových cien (""Katalóg"" > ""Cena"" > ""Rozsah katalógových cien"")."
"Cannot retrieve rate from %s.","Sadzbu z %s nie je možné získať."
"Connection Timeout in Seconds","Čas vypršania pripojenia v sekundách"
"Continue &raquo;","Pokračovať &raquo;"
"Country","Krajina"
"Country API","API krajiny"
"Country and Format Type combination should be unique","Kombinácia typu krajiny a formátu musí byť unikátne"
"Currency","Mena"
"Currency Options","Možnosti meny"
"Currency Setup","Nastavenie meny"
"Currency Update Warnings","Upozornenia na aktualizácie meny"
"Default Display Currency","Predvolené zobrazenie meny"
"Directory","Adresár"
"Enabled","Povolené"
"Error Email Recipient","Chyba E-mailového príjemcu"
"Error Email Sender","Chyba E-mailového odosielateľa"
"Error Email Template","Chyba v emailovej šablóne"
"FATAL ERROR:","KRITICKÁ CHYBA:"
"Frequency","Frekvencia"
"Installed Currencies","Nainštalované meny"
"Invalid Import Service specified.","Chybne vybraná importnovacia služba."
"Invalid country code: %s","Neplatný kód krajiny: %s"
"Invalid rates received","Obdržané chybné sadzby"
"Invalid target currency.","Neplatná cieľová mena."
"List of countries","Zoznam krajín"
"List of regions in specified country","Zoznam krajov vo vybranej krajine"
"Postal Code is Optional for the following countries","PSČ je pre tieto krajiny"
"Region","Kraj"
"Region API","API kraju"
"Scheduled Import Settings","Nastavenia plánovaného importu"
"Select Your Currency","Vyberte svoju menu"
"Service","Služba"
"Start Time","Počiatočný čas"
"State/Province","Štát/Kraj"
"Strikeiron Email Update Warnings","Strikeiron E-mail aktualizácia upozornení"
"Unable to initialize the import model.","Nemožno inicializovať importný model."
"Undefined rate from ""%s-%s"".","Nedefinovaná sadzba od ""%s-%s""."
"WARNING:","UPOZORNENIE:"
"Webservicex","Webservicex"
"Your current currency is: %s","Vaša aktuálna mena je: %s"
