"1 star","1 hviezdička"
"2 stars","2 hviezdičky"
"3 stars","3 hviezdičky"
"4 stars","4 hviezdičky"
"5 stars","5 hviezdičiek"
"Add New Rating","Pridať nové hodnotenie"
"Assigned Options","Priradené možnosti"
"Be the first to review this product","Napíšte recenziu k tomuto produktu ako prvý"
"Default Value","Predvolená hodnota"
"Delete Rating","Zmazať hodnotenie"
"Edit Rating","Upraviť hodnotenie"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Ak neurčíte nadpis hodnotenia pre obchod, budú použité predvolené hodnoty."
"Manage Ratings","Správa hodnotení"
"New Rating","Nové hodnotenie"
"Option Label","Menovka možností"
"Option Title","Voľba nadpisu"
"Option Title:","Voľba nadpisu:"
"Please select one of each ratings above","Vyberte jednu z nasledujúcich možností"
"Rating Information","Informácie o hodnotení"
"Rating Name","Meno hodnotenia"
"Rating Options","Možnosti hodnotenia"
"Rating Title","Nadpis hodnotenia"
"Rating Visibility","Viditeľnosť hodnotenia"
"Rating isn't Available","Hodnotenie nie je dostupné"
"Rating with the same title","Hodnotenie s rovnakým nadpisom"
"Save Rating","Uložiť hodnotenie"
"Visible In","Viditeľné v"
